Название вакансии,URL,Название комании,Описание
Преподаватель в школу программирования,https://sergievposad.hh.ru/vacancy/31539428?query=python, Алгоритмика (ИП Лагуткин Павел Владимирович),"Студентов и выпускников технических или педагогических ВУЗов, любящих детей и готовых сделать для них программирование простым, интересным и веселым! "
Backend developer (оперирование игровыми проектами),https://sergievposad.hh.ru/vacancy/31688653?query=python, Дестени Продакшн,Создание новой игровой платформы. Участие в развитии игровых проектов компании и их интеграция с платформой. Разработка системы аналитики и статистики. Опыт разработки на Python от 3-х лет. Уверенное знание Django/Flask. Знание принципов работы баз данных и опыт работы...
Инженер-программист,https://sergievposad.hh.ru/vacancy/31845319?query=python,ООО ИНИТИ,"Разработка функциональных модулей высокопроизводительной системы параллельных вычислений реального времени (преимущественно под ОС Linux).Опыт программирования на любом из ООП языков (C++, python, perl, java и т.д.). Понимание структур данных (различные виды деревьев..."
QA engineer,https://sergievposad.hh.ru/vacancy/31340825?query=python,ООО Смолис,"Тестировать программные решения для разных платформ виртуализации - VMware, Hyper-V, RHEV, Xen. Тестировать программные решения для разных облачных платформ - vCloud...Понимание процесса разработки софта и умение тестировать ПО - опыт от 3 лет. Автоматизация процессов тестирования (python/java robot framework, selenium). "
Менеджер-аналитик по качеству,https://sergievposad.hh.ru/vacancy/31006933?query=python, ЦИАН ГРУПП,"Анализировать базы объявлений с целью: Формирование гипотез/идей на основании анализа для тестирования и формирования новых инструментов обнаружения нарушений. Знание SQL, Python (в частности библиотеки numpy, scipy, pandas). Знание принципов работы marketplace. Знание статистического анализа. Опыт работы с большим..."
"Product manager (Online-опросы, Фарма)",https://sergievposad.hh.ru/vacancy/31850876?query=python, Double Data,"Реализация продукта со стадии расплывчатой идеи до четко спланированной реализации, масштабирования на рынок и последующей поддержки. Поиск, привлечение и интервьюирование...Навыки работы в Tableau и прочих BI-инструментах. Опыт работы с Jira, Confluence. Свободный английский. Знание SQL, Python."
Middle/Senior DBA (Postgres),https://sergievposad.hh.ru/vacancy/31648444?query=python, Юду,"Поддержка, мониторинг и развитие текущей инфраструктуры СУБД - OLTP, DWH, key-value. Поддержка и развитие систем BI и отчётности. ...узких"" мест и оптимизации параметров для работы БД. Знания ОС Linux на уровне администратора. Опыт автоматизации на bash/python/whatever."
Продуктовый Аналитик,https://sergievposad.hh.ru/vacancy/31405926?query=python,ООО DocDoc.ru,"Развивать структуру метрик, проектировать модель данных, визуализировать отчетность по продуктам. Обеспечивать понятность и прозрачность имеющихся у нас данных и отчетов. Уверенное знание SQL, Excel. Умение обрабатывать сырые данные (например, с помощью Python). Опыт работы с инструментами визуализации данных (например, ChartIO..."
Java developer,https://sergievposad.hh.ru/vacancy/31416691?query=python,ООО Коркласс,"Разработка программного обеспечения. - Рефакторинг программного кода. - Оптимизация программного обеспечения. - Поддержка существующих и разрабатываемых программных продуктов. - Ориентация на DevOps (разработка, тестирование...Желательно: - Опыт разработки BI систем или ГИС. - Знание языков программирования Go/JavaScript/Node.js/Python. - Умение писать Bash скрипты. - "
Менеджер проектов (ТВ и Диджитал),https://sergievposad.hh.ru/vacancy/31242032?query=python, Mediascope,"Планирование проекта – сроки, ресурсы, ключевые задачи, контрольные точки. Согласование проекта с руководством на всех этапах. Контроль исполнения задач, помощь в...Высшее образование. Знание английского языка от уровня Intermediate. Знание ПК на хорошем уровне (Excel в совершенстве, PowerPoint, Outlook, Internet). "
IT specialist,https://sergievposad.hh.ru/vacancy/31252412?query=python, HUAWEI,"To be responsible for the support and operation of the IT system platforms. Participation in the system architecture design, and...Strong command of English (Upper-Intermediate or above). Knowledge of mainstream development languages (such as Java or Python). "
Инженер по тестированию (Тестировщик ПО),https://sergievposad.hh.ru/vacancy/31579058?query=python, МДО,Автоматизированное тестирование. Ручное функциональное и регрессионное тестирование. Ведение тестовой документации (Написание тест-кейсов и тестовых сценариев). Формировать и поддерживать в...Базовые знания языка программирования python. Использование систем баг-трекинга и репозиториев кода. Понимание концепции Test Driven Development. Чтение технической литературы...
Разработчик,https://sergievposad.hh.ru/vacancy/31748604?query=python,ООО СофтКлуб - СХ,"Поддержка и доработка существующих приложений (хранимые процедуры, функции, пакеты, представления). Анализ и оптимизация работы приложений (планы, отладка, трассировка, мониторинг). Опыт написание сложных SQL запросов (многотабличные, иерархические, применение транспонирования). Опыт работы с XML (XSLT, XSD, Xpath). Опыт работы с Python. "
Специалист отдела ресурсного планирования,https://sergievposad.hh.ru/vacancy/31907162?query=python, OZON.ru интернет-витрина,"Участие в построении процесса планирования. Контроль плана закупок для 1,5+ млн артикулов по категориям. Обеспечение необходимого уровня наличия...Опыт работы от 2х лет, аналитический склад ума, внимание к деталям, высокая работоспособность, пунктуальность, стрессоустойчивость. Обязательные навыки: SQL, Power..."
Системный программист Android,https://sergievposad.hh.ru/vacancy/28268051?query=python, Group-IB,"Программирование приложений под Android для решения задач песочницы. Разработка песочницы. Исследование программ и эксплоитов, используемого киберпреступниками. Сбор и автоматизация анализа...Опыт разработки приложений и сервисов под Android (SDK/NDK). Владение языками Python/JAVA/C. Умение работать c git. "
Старший менеджер по контекстной рекламе,https://sergievposad.hh.ru/vacancy/24056043?query=python," Риалвеб, Интернет-агентство","Готовить отчеты по рекламным кампаниям. Приветствуется знание Power BI, Python, Google Data Studio, Google Spreadsheets. Погружаться в работу рекламных кампаний...Опыт работы с большими аккаунтами в Яндекс.Директ, Google AdWords (свыше 10 000 ключевых слов). Опыт работы с e-commerce клиентами..."
DevOps инженер,https://sergievposad.hh.ru/vacancy/31647801?query=python,ООО Инсейлс Рус,"Улучшать текущую конфигурацию платформы, продолжать внедрять Kubernetes. Обеспечивать стабильность работы платформы, в том числе реагировать на критичные ночные инциденты. Опыт работы с Kubernetes. Опыт разработки на одном из языков: Ruby, Python или Go. Вы знакомы с книгой Google SRE."
Руководитель отдела проектной безопасности,https://sergievposad.hh.ru/vacancy/30684132?query=python, Rambler Group,"Организация и развитие процесса безопасной разработки приложений S-SDLC. Интеграция DAST/FAST (может и SAST) тестирования в процессы веб-разработки. Умение читать исходный код, знать тонкости и выявлять уязвимости нескольких языков программирования из списка – Python, Ruby, Perl, PHP, JS/NodeJS. "
Проектный менеджер (Эффективность маркетплейса),https://sergievposad.hh.ru/vacancy/31862970?query=python, Ситимобил,"Провести анализ эффективности маркетплейса и разработать модель влияния (ключевые факторы, границы их изменений, степень и характер влияния) факторов маркетплейса, не...Уверенное знание Python и основных библиотек (pandas, numpy, scikit и т.д.) будет плюсом. Аналитический склад ума, способность структурировано разложить..."
Менеджер по интернет-маркетингу,https://sergievposad.hh.ru/vacancy/31006631?query=python, ЧУ ДО Школа программистов,"Настройка и управление контекстной рекламой в Яндекс.Директ и Google Ads. Настройка и управление таргетированной рекламой Facebook, Instagram, ВКонтакте, My Target. Опыт работы в интернет-маркетинге от трех лет. Подтвержденные знания Google Analytics, Яндекс.Метрики. Подтвержденный опыт работы с таргетированной рекламой. "
Главный специалист Отдела анализа и контроля (аналитик- технолог),https://sergievposad.hh.ru/vacancy/31900652?query=python,ПАО МТС Банк,Реализация процессов и стратегий взыскания задолженности в CRM FIS Collection. Бизнес-администрирование CRM FIS Collection. Создание и сопровождение отчетности. Опыт работы в данном направлении от 3-х лет. Знания и опыт работы с APEX или Python приветствуются.
Системный администратор Linux / Unix,https://sergievposad.hh.ru/vacancy/31750332?query=python,ООО Цитадель,"Администрирование: серверов с ОС Linux (преимущественно CentOS). Администрирование сервисов Apache, Nginx, Haproxy, VPN, СУБД PostgreSQL, Zabbix. Мониторинг работоспособности, производительности, подготовка...Понимание принципов работы DNS (bind, powerdns, unbound). Опыт написания скриптов (bash, python). Знакомство с системами виртуализации и контейнеризации. "
Senior QA Automation Engineer (Selenium),https://sergievposad.hh.ru/vacancy/31585439?query=python, Smart Development Ltd,"Разработка и поддержка инфраструктуры тестирования (Jenkins,Gitlab CI, Docker, Python). - Развитие архитектуры автотестов и тестового инструментария. - Плотная работа с командой...Опыт автоматизированного тестирования от 2 лет. - Понимание протоколов HTTP, TCP\IP. - Опыт автоматизации тестирования UI (Selenium WebDriver, Java). - "
CI Engineer,https://sergievposad.hh.ru/vacancy/27812469?query=python, NetworkOptix,"Take a part in the continuous integration system development: support and improve current CI projects, based on jenkins and jenkins...Experience with a continuous integration platform such as Jenkins, TeamCity, Groovy etc. Good Python knowledge. Good experience in version control..."
Системный администратор / DevOps,https://sergievposad.hh.ru/vacancy/31682197?query=python,ООО Группа ФОМ / Фонд Общественное Мнение,"Поиска неисправностей в тестовой и боевой инфраструктуре и их устранение. Взаимодействия со всеми участниками процесса разработки, тестирования и эксплуатации. Знания в области работы с Docker контейнерами. Знание скриптовых языков (Bash, Python). Опыт работы с системами контроля версий (Git). "
Актуарий/эксперт в актуарную группу,https://sergievposad.hh.ru/vacancy/31815267?query=python, ФБК,"Участие в проектах по актуарной оценке долгосрочных пенсионных и социальных обязательств в соответствии с МСФО (IAS) 19. Проведение аудиторских процедур...Наличие сертификата актуария и членства в СРО как плюс. Опыт программирования (VBA, Python, R…) и/или желание развиваться в этом..."
Quantitative Researcher Intern,https://sergievposad.hh.ru/vacancy/31844648?query=python,ООО КВАНТПОРТРУС,"Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical...Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). "
Аналитик проектов автоматизации контактных центров,https://sergievposad.hh.ru/vacancy/31404676?query=python, NAUMEN,"Взаимодействие с заказчиками, выявление и анализ их потребностей, консультации по работе существующей системы. Сбор, систематизация, согласование требований к программному продукту. Базовые знания SQL. Базовые знания одного из скриптовых языков (python, perl, bash, javascript). Опыт написания технической документации. Понимание принципов работы..."
Linux Technical Support Engineer for Imunify Security,https://sergievposad.hh.ru/vacancy/31657898?query=python, Cloud Linux,Providing support for our Imunify Security product. Work closely with our team of talented engineers who are supporting the company...Proven track record in technical support. In depth knowledge of Linux based operating systems and services. Proven experience with web...
Ведущий программист,https://sergievposad.hh.ru/vacancy/31681998?query=python,ООО НТехЛаб,"Разрабатывать прототипы индустриальных решений и интеграций со сторонними системами (аналитические системы (BI), СКУД, видеоплатформы, учетные системы и т.д.) на...Знание Linux на уровне продвинутого пользователя, bash. Знание MongoDB, SQL. Отличное знание Python2/3. Умение работать с git. "
Старший системный аналитик в платёжную систему,https://sergievposad.hh.ru/vacancy/31853243?query=python, Anchous Drive Recruitment,"Мы помогаем банкам, людям, провайдерам услуг быстро и безопасно отслеживать , совершать и принимать платежи за ЖКХ, мобильную связь, Интернет, телевидение...Ты можешь не только ясно и чётко сформулировать свои мысли, но и коммуницировать, так чтобы их могли услышать и осознать..."
Ведущий системный администратор,https://sergievposad.hh.ru/vacancy/31853455?query=python,ООО Айпи Сервер,Решение текущих запросов через собственную систему тикетов (L1+L2+L3 уровни). - Администрирование серверов и большого спектра прикладного...Обязательно (хотя бы базовое) знание каких-либо языков программирования или умение писать скрипты (Bash или Perl или Python и т...
Android Reverse Engineer,https://sergievposad.hh.ru/vacancy/29875196?query=python, Postuf,Исследование механизмов работы мобильных приложений под Android. Документирование исследованных механизмов и их прототипирование. Разработка методик анализа изменений в APK с...Умение прототипировать функционал на каком-либо языке (желательно Python\PHP\Bash). Будет большим плюсом умение анализировать нативный код. 
Ведущий разработчик БД,https://sergievposad.hh.ru/vacancy/31479488?query=python," СОКБ, НИИ","Разработка структуры БД. Разработка серверной части (пакеты, процедуры, триггеры и т.д.), оптимизация запросов.Понимание Git Flow. Знание Jenkins. Английский язык – технический. Опыт работы с Linux на уровне опытного пользователя приветствуется. Желательно знание Python."
Аналитик,https://sergievposad.hh.ru/vacancy/31851491?query=python, ГК «ХайТэк»,Сбор и постоянный мониторинг информации в области нейросетевых технологий. Подготовка сводных аналитических отчетов. Подготовка предложений по постанове новых работ (обоснование...Знание языка Python и фреймворков для машинного обучения (tensorflow/pytorch и т.п.). Понимание принципов работы вычислительной техники: CPU/GPU...
Системный аналитик,https://sergievposad.hh.ru/vacancy/31039717?query=python,АО Мегаполис,"Разработка требований к программному обеспечению (desktop, mobile, tablet). Прототипирование, постановка задач дизайнерам. Постановка задач разработчикам. Проведение обследований. Согласование требований с...Будем плюсом опыт работы в сфере транспорта. Желательно умение программировать (Python). Желательны навыки подготовки презентаций. Желателен опыт разработки UX. "
Системный аналитик,https://sergievposad.hh.ru/vacancy/31655959?query=python, HFLabs,"Много общаться с заказчиком, собирать и анализировать требования. Готовить детальные описания требований, согласовывать их, ставить задачи разработчикам. Проверять результат (авторский...Работали в аналогичной должности и работаете в IT сфере не менее 3 лет. Связно и грамотно излагаете свои мысли, в..."
Специалист по информационной безопасности,https://sergievposad.hh.ru/vacancy/31853430?query=python,ООО Пангео Радар,"Развитие платформы Пангео Радар. Поддержка тестовой зоны с различными продуктами ИБ. Написание правил нормализации событий безопасности. Проведение исследований в области...Опыт работы в Linux. Знание какого-либо скриптового языка (Python, Bash, PowerShell). Опыт работы с SIEM (ArcSight/QRadar/MaxPatrol SIEM..."
Quantitative Researcher,https://sergievposad.hh.ru/vacancy/29014173?query=python,ООО КВАНТПОРТРУС,"Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical...Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). "
Главный эксперт/Менеджер Отдела построения моделей кредитного риска,https://sergievposad.hh.ru/vacancy/31900191?query=python, UniCredit Bank,"Участие и ведение проектов по разработке и поддержке моделей оценки кредитного риска (PD, LGD, EAD) для корпоративных клиентов в соответствии...Знание хотя бы одного языка программирования (SQL/SAS/R/Python и др.). Английский язык – письменный и устный – не ниже Upper..."
Директор отдела разработки программного обеспечения,https://sergievposad.hh.ru/vacancy/31593363?query=python,ООО РДЛ-Телеком,"Управление отделом разработки программного обеспечения (разработка, тестирование, аналитика, системное администрирование, devops). Планирование и оценка ресурсов под задачи разработки ПО, распределение...Знание Node.js, npm, webpack. Знание Python на уровне понимания кода. Умение верстать по стандартам БЭМ с использованием прекомпиляции стилей (LESS..."
Malware Analyst for Imunify Security,https://sergievposad.hh.ru/vacancy/31249228?query=python, Cloud Linux,You will be responsible for analyzing various types of malware attacking the web hosting servers and creating improvements in our...3+ years of experience working with PHP. Experience cleaning up websites from malware is a big plus. 
Ведущий специалист по информационной безопасности,https://sergievposad.hh.ru/vacancy/31853436?query=python,ООО Пангео Радар,"Развитие платформы Пангео Радар. Тонкая настройка параметров производительности платформы (OS/storage/application layer). Постановка DevOps процессов: управление версиями, управление конфигурациями...Знание Linux на уровне администратора. Уверенное знание Elastic Stack. Знание Python на уровне автоматизации рутинных действий. Опыт работы с SIEM..."
Ведущий тестировщик,https://sergievposad.hh.ru/vacancy/31572718?query=python, Zelax,"Тестирование программного обеспечения. Организация тестирования программного обеспечения. Документирование тестирования программного обеспечения.Опыт установки и настройки ОС Linux – от 2 лет. Знание python, shell. Уверенное владение инструментами организации тестирования – багтрекеры, инструменты для..."
Тестировщик серверной части / QA инженер,https://sergievposad.hh.ru/vacancy/31672357?query=python, ЛАЙФСТРИМ,"Проектирование тестовой документации (кейсы, планы) вместе с разработчиками. Проведение ручного и автоматизированного тестирования разных видов: регрессионного, приемочного, функционального. Желание развиваться в области тестирования серверного ПО, его автоматизации. Python. Protobuf, gRPC. Фреймворки автотестирования (используем Robot). Работа с базами данными..."
Стажер в ИТ (направление DevOps),https://sergievposad.hh.ru/vacancy/31609862?query=python,ПАО МТС Банк,"100% поддержка.Знание Linux-систем. Знание Bash или Python. Знание Docker будет плюсом. Ответственность, желание изучать новое и развиваться."
Инженер по внедрению и сопровождению ПО,https://sergievposad.hh.ru/vacancy/30886072?query=python, АМТ-ГРУП,"Участие во внедрении и сопровождении информационных систем. Проведение пуско-наладочных работ, инсталляция и настройка операционных систем, СУБД и внедряемого программного...Опыт написания простых скриптов (bash/python). Понимание принципов работы веб-сервисов (rest/soap). Умение читать тех. документацию на английском языке. "
Инженер VoIP в службу технической поддержки,https://sergievposad.hh.ru/vacancy/31659516?query=python, Power Telecom,"Мониторинг оборудования и ключевых показателей VoIP-сети. Troubleshooting и устранение проблем на VoIP-сети. Подключение новых корпоративных клиентов, операторов связи. Опыт администрирования ОС Linux. Опыт написания скриптов (bash, python). Понимание работы REST API. Опыт работы с сетевым оборудованием операторского класса..."
Quantitative Researcher,https://sergievposad.hh.ru/vacancy/29958073?query=python, WorldQuant,"Competitive financial rewards, based on performance and position. Job Responsibilities (including, but not limited to, the following): Building algorithmic, computer...Solid programming skills (C++ and/or Python). Good knowledge of English (both oral and written). Strong work ethic. "
Преподаватель курсов программирования и робототехники,https://sergievposad.hh.ru/vacancy/31485877?query=python,ООО КАРАТ,"промышленный дизайн. - изобретательство. Детский технопарк «Вертикальный взлет» является инновационной формой организации научно-технического творчества и учебно- исследовательской деятельности детей и...информационные технологии (программирование, большие данные, интернет вещей). - робототехника. - имеете высшее техническое/педагогическое образование. - увлеченный своим делом человек. - у Вас (или..."
Team Lead / Руководитель группы разработки,https://sergievposad.hh.ru/vacancy/31677514?query=python, MillionAgents,"Участие в принятии стратегических продуктовых решений, в проектировании продуктов и бизнес-процессов. Управление системой: ответственность за архитектуру, выбор технологий и...Опыт работы с технологиями машинного обучения и опыт работы на языке Python / Matlab / R. Опыт участия в разработке биллинговых решений."
Эксперт по информационной безопасности (Безопасность ИТ инфраструктуры),https://sergievposad.hh.ru/vacancy/31400160?query=python, Кадровое агентство Юнити,"Проведение анализа существующих информационных систем и баз данных, информационных процессов, качества данных с позиций обеспечения ИБ. Оценка архитектуры и конфигураций......информации, SIEM систем, сканеров уязвимостей. Вы хорошо знакомы с ArcSight. Знаете один из языков программирования (С, С++, С#, JAVA, Python)."
Консультант-аналитик,https://sergievposad.hh.ru/vacancy/31659009?query=python,ООО САС Институт,"Сбор, анализ и формализация требований и бизнес-процессов. Реализация требуемой функциональности на основе решений SAS: Анализ больших объемов данных с...Продвинутое знание одного или нескольких языков программирования: SAS/Python и т.п.. Опыт работы с СУБД (Oracle, MS SQL): знание..."
Учитель информатики и робототехники,https://sergievposad.hh.ru/vacancy/31750007?query=python, ЧОУ Хорошевская школа,"Практико-ориентированный подход к преподаванию программирования.Опыт интегративных курсов «программирование + робототехника», STEM. Опыт преподавания программирования на ""СИ"" и Python - обязательное условие. Приветствуется опыт подготовки призеров..."
Ведущий инженер по внедрению и техподдержке телекоммуникационного биллинга,https://sergievposad.hh.ru/vacancy/31576368?query=python, Латера,"поддерживать работу уже внедренного биллинга. — участвовать в решении сложных задач совместно с разработчиками. — общаться с клиентами: консультировать по работе и...умение программировать под Linux (shell, Perl, Python, Ruby и т.п.). — знание английского языка на уровне Intermediate (субсидируем обучение в..."
Инженер систем виртуализации и СХД / Системный администратор,https://sergievposad.hh.ru/vacancy/31467378?query=python, NeoCommunications,"Администрирование систем хранения данных и SAN-сети. Администрирование системы виртуализации. Администрирование серверного оборудования с архитектурой x86. Мониторинг состояния и...Желателен опыт развертывания и сопровождения систем резервного копирования: Bareos, Veeam. Умение автоматизировать рутинные задачи, знание скриптовых языков (bash / python)."
Инженер технической поддержки (Английский язык),https://sergievposad.hh.ru/vacancy/31062156?query=python,ООО НТ Прогресс,"Работа с клиентскими обращениями, прием обращений по телефону/почте. Ручное тестирование продукта. Составление тест планов, осуществление приемки продукта от разработчиков. Приветствуется опыт поддержки первой линии. Приветствуются базовые знания в разработке ПО (C++/Python). Приветствуются базовые знания в администрировании Linux. "
Финансовый аналитик,https://sergievposad.hh.ru/vacancy/31690443?query=python,ООО БЕВ,"Участие в подготовке ежемесячной управленческой отчетности, проведение план-факт анализа, подготовка отчетов и презентации для менеджмента. Подготовка ежемесячных P&L...Знание продуктов MS Office, 1С. Базовые знания SQL/Python являются преимуществом. Знание принципов бухгалтерского учета, логики и взаимосвязи основных..."
Инженер по информационной безопасности,https://sergievposad.hh.ru/vacancy/30471846?query=python, Dialog,"Формировать и анализировать требования безопасности к разрабатываемым компонентам программного обеспечения, оценивать осуществимость и выработку критериев выполнения. Анализировать создаваемые информационные системы...Понимание принципов ООП и программирования в целом, знание Python, Javascript, Java, Kotlin, Swift. Опыт проектирования архитектуры высоконагруженного ПО; опыт оптимизации..."
Инженер внедрения и сопровождения,https://sergievposad.hh.ru/vacancy/30709415?query=python,ООО Фаззи Лоджик Лабс,"Установка и настройка программного обеспечения на тестовых и продуктовых средах. Решение технических проблем внедряемого приложения, как на площадке заказчика, так...Знание одного из скриптовых языков, например: python, bash scripting, и др. Будет преимуществом опыт работы с распределёнными высоко-нагруженными системами..."
Ведущий разработчик RPA,https://sergievposad.hh.ru/vacancy/31018243?query=python,ПАО МТС Банк,"...го языка программирования из семейства VB (VBA, VBS). Уверенное знание 1-го дополнительного языка программирования (JavaScript, С++, C#, Java, Python).Уверенное знание 3-х и более языков программирования. Уверенное знание 1-й и более платформ роботизации (HP UFT, Selenium, Katalon..."
Специалист службы технической поддержки,https://sergievposad.hh.ru/vacancy/31848133?query=python,ООО Риалто,"Обработка обращений, поступающих от пользователей. Ведение заявок в системе Service Desk. В первую очередь - поддержка небольшого офиса, моментальное реагирование и...Желательно опыт администрирования Linux. Желательно знание/опыт программирования на Python. Понимание азов в информационной безопасности. Умение пользоваться поисковиками и man..."
Преподаватель IT,https://sergievposad.hh.ru/vacancy/31648301?query=python,Нек. орг. Международный Центр Профессионального Образования,"работа со взрослыми. Кандидата, который хочет работать в области преподавания. - разработка методических семинаров. - преподавание в небольших аудиториях до 10 человек. - Умение писать технические тексты (IT), которые всегда содержат специфические термины. Понимание IT отрасли. Специалист с опытом работы в IT индустрии. "
Data Scientist/Разработчик предиктивных моделей,https://sergievposad.hh.ru/vacancy/30986886?query=python, Ситимобил,"Поиск полезных инсайтов и индикаторов, которые могут усилить наше понимание текущей ситуации на маркетплейсе. Применение предиктивных моделей в различных алгоритмах. Пониманием принципов работы СУБД и владеть SQL. Python и важными для разработки фреймворков (pandas, numpy, sklearn, lightgbm и так далее). "
Project Manager for Imunify360 project,https://sergievposad.hh.ru/vacancy/31658020?query=python, Cloud Linux,"Imunify360 is an innovative security solution, powered by machine learning, for Linux Web servers. It is designed specifically for...Deep understanding of Linux and Python. Excellent organizational and interpersonal skills. Strong leadership qualities. Strong project management skills. Agile / Scrum. "
Инженер по автоматизации тестирования / QA Automation Engineer,https://sergievposad.hh.ru/vacancy/31340966?query=python, Медиалогия,"Разработка интеграционных авто тестов (70% - тестирование back, 30% - API). Обеспечение непрерывного контроля качества выпускаемого ПО, поддержка тестовой инфраструктуры. Знать теорию тестирования. Писать автотесты (python или другие языки программирования), но в случае чего способность проверить руками. Знать SQL. "
Инженер по тестированию / QA (проект MyBook),https://sergievposad.hh.ru/vacancy/31039225?query=python, ЛитРес,"Ручное тестирование новых релизов сайта и мобильных приложений под iOS, Android по функциональным спецификациям. Регрессионное тестирование по чеклистам. Навыки автоматизированного тестирования. Опыт программирования или чтения кода (Python, Objective-C или Java). Базовые навыки работы с версткой (HTML, CSS..."
Инженер-аналитик,https://sergievposad.hh.ru/vacancy/31534576?query=python, NAUMEN,"Взаимодействие с заказчиками, выявление и анализ их потребностей, консультации по работе существующей системы. Сбор, систематизация, согласование требований к программному продукту. Базовые знания SQL. Базовые знания одного из скриптовых языков (python, perl, bash, javascript). Опыт написания технической документации. Понимание принципов работы..."
"Ведущий специалист Отдела монтажа, наладки и сопровождения",https://sergievposad.hh.ru/vacancy/31749116?query=python, ЭНПРО,"Установка и сопровождение программного обеспечения на базе SCADA систем, серверов HP, сетевого оборудования Cisco и Moxa.Знание Oracle, Linux Debian 7 и/или Python будет преимуществом. Знание серверов HP. Опыт настройки и управления. Знание серверов SuperMicro..."
